Student Name,Availability,Other Activities,English Level
Alexis Logan,Monday 19:00-17:00; Tuesday 16:00-18:00,Writing,C
Wanda Perez,Friday 16:00-19:00; Wednesday 16:00-21:00,Writing,Pre-Junior
John Bernard,Friday 20:00-21:00; Tuesday 20:00-17:00,Swimming,D
Christian Burns,Friday 16:00-20:00; Tuesday 16:00-18:00,Reading,E
John Williams Jr.,Thursday 16:00-19:00; Wednesday 16:00-21:00,Dancing,A-Junior
Katherine Murphy,Friday 15:00-22:00; Thursday 17:00-22:00,Reading,Lower
Lawrence Smith,Thursday 15:00-20:00; Friday 15:00-20:00,Reading,A-Junior
Renee Miller,Friday 15:00-19:00; Tuesday 16:00-23:00,Reading,C
Amy Greer,Friday 16:00-20:00; Wednesday 20:00-20:00,Dancing,B
Trevor Benson,Wednesday 19:00-22:00; Friday 19:00-17:00,Swimming,D
Dr. Anthony Barnes,Monday 17:00-21:00; Thursday 18:00-19:00,Swimming,Lower
Sean Sullivan,Wednesday 17:00-18:00; Thursday 21:00-17:00,Writing,E
Gerald Hansen,Thursday 21:00-19:00; Friday 21:00-21:00,Writing,D
Kyle Blankenship,Monday 18:00-17:00; Tuesday 20:00-23:00,Music,Pre-Junior
Laurie Watson,Monday 21:00-20:00; Friday 21:00-23:00,Dancing,Lower
Michelle Henderson,Friday 16:00-20:00; Wednesday 17:00-20:00,Dancing,Pre-Junior
Barry Richardson,Friday 20:00-22:00; Tuesday 21:00-19:00,Music,Pre-Junior
Toni Zimmerman,Monday 16:00-17:00; Friday 21:00-20:00,Chess,B
Julie Harris,Monday 21:00-17:00; Thursday 16:00-17:00,Writing,C
Terry Hogan,Thursday 18:00-20:00; Friday 15:00-20:00,Swimming,B
Susan Lucas,Monday 18:00-23:00; Thursday 16:00-22:00,Swimming,E
Amy Lee,Friday 17:00-20:00; Wednesday 21:00-20:00,Dancing,Lower
Ashley Williams,Wednesday 19:00-17:00; Monday 15:00-18:00,Swimming,Proficiency
Mr. Sergio Williams,Tuesday 19:00-22:00; Monday 15:00-18:00,Reading,Pre-Junior
Mark Delacruz,Tuesday 21:00-18:00; Thursday 16:00-17:00,Swimming,C
Lisa Vega,Tuesday 17:00-17:00; Thursday 21:00-21:00,Music,D
Jeffrey Pearson,Friday 15:00-21:00; Thursday 17:00-20:00,Drawing,Lower
Jesse Carlson,Friday 18:00-19:00; Tuesday 21:00-21:00,Music,E
Ryan Harvey,Thursday 17:00-17:00; Friday 21:00-22:00,Chess,C
Christie Vargas,Thursday 15:00-17:00; Tuesday 17:00-20:00,Swimming,Proficiency
Samantha Cunningham,Monday 20:00-20:00; Wednesday 19:00-19:00,Writing,E
Edward Moore,Friday 19:00-19:00; Monday 15:00-23:00,Chess,A
Anna Jackson MD,Monday 15:00-23:00; Thursday 19:00-22:00,Music,A-Junior
Lisa Chavez,Monday 17:00-17:00; Thursday 16:00-20:00,Drawing,B
Joseph Morales DDS,Wednesday 15:00-20:00; Thursday 17:00-21:00,Drawing,Pre-Junior
Kelly Lewis,Tuesday 17:00-22:00; Thursday 19:00-20:00,Music,A-Junior
Alexis Herrera,Friday 18:00-20:00; Monday 20:00-21:00,Music,Lower
Taylor Hardin,Thursday 18:00-17:00; Friday 15:00-21:00,Dancing,B
Jason Davidson,Wednesday 17:00-17:00; Friday 15:00-18:00,Drawing,A
Samuel Smith,Wednesday 16:00-22:00; Monday 15:00-22:00,Writing,Pre-Junior
Charles Perez,Thursday 21:00-23:00; Friday 18:00-17:00,Drawing,B
Lee Peters,Thursday 18:00-20:00; Monday 18:00-23:00,Swimming,A-Junior
Courtney Brown,Monday 21:00-22:00; Friday 20:00-20:00,Music,A
Erica Stephens,Wednesday 17:00-22:00; Tuesday 21:00-17:00,Writing,Lower
Hunter Franco,Monday 20:00-21:00; Wednesday 21:00-18:00,Reading,C
Jason Hamilton,Thursday 15:00-17:00; Friday 19:00-17:00,Reading,Lower
Jennifer Marks,Friday 21:00-21:00; Thursday 19:00-22:00,Writing,E
James Holmes,Monday 19:00-21:00; Wednesday 18:00-23:00,Chess,Pre-Junior
Margaret Calderon,Monday 17:00-18:00; Tuesday 19:00-19:00,Writing,C
Brooke Patterson,Tuesday 21:00-21:00; Thursday 17:00-22:00,Dancing,A
Kelly Nixon,Thursday 21:00-22:00; Friday 21:00-17:00,Music,A-Junior
Jennifer Miller,Wednesday 17:00-21:00; Friday 20:00-17:00,Music,A
Mario Salinas,Wednesday 20:00-18:00; Monday 17:00-18:00,Music,Lower
Marc Miller,Tuesday 19:00-22:00; Thursday 20:00-23:00,Drawing,E
Dylan Phillips,Friday 20:00-23:00; Wednesday 16:00-20:00,Reading,Pre-Junior
Joshua Savage,Thursday 21:00-23:00; Tuesday 16:00-17:00,Reading,D
Kevin Phillips,Thursday 17:00-17:00; Monday 16:00-19:00,Swimming,Pre-Junior
Kevin Ballard PhD,Tuesday 17:00-22:00; Thursday 16:00-18:00,Dancing,B
Rebecca Allen,Tuesday 19:00-22:00; Thursday 19:00-22:00,Music,E
Christopher Clark,Monday 20:00-21:00; Tuesday 21:00-20:00,Writing,Lower
Jeremiah Mitchell,Monday 15:00-20:00; Thursday 21:00-21:00,Dancing,B
Edward Scott,Monday 20:00-20:00; Thursday 19:00-18:00,Music,A-Junior
Kelsey Garcia,Monday 21:00-20:00; Tuesday 19:00-19:00,Drawing,A
Mark Hall,Friday 17:00-23:00; Wednesday 21:00-20:00,Chess,E
Amanda Carlson,Tuesday 17:00-20:00; Wednesday 20:00-22:00,Writing,A
Elizabeth Chapman,Wednesday 16:00-22:00; Tuesday 21:00-23:00,Chess,A-Junior
Sharon Travis,Thursday 21:00-19:00; Monday 20:00-18:00,Chess,A-Junior
Jonathan Medina,Friday 17:00-22:00; Wednesday 15:00-22:00,Chess,E
Jermaine Donaldson,Wednesday 17:00-21:00; Monday 18:00-19:00,Writing,Proficiency
Walter Moreno,Monday 20:00-22:00; Wednesday 19:00-21:00,Swimming,B
Cory Carter,Tuesday 16:00-22:00; Wednesday 15:00-18:00,Reading,Pre-Junior
Christopher Dennis,Tuesday 19:00-22:00; Wednesday 20:00-20:00,Dancing,Lower
Mr. Shawn Brown,Thursday 20:00-20:00; Tuesday 16:00-22:00,Swimming,E
Stephanie Gallagher,Friday 19:00-18:00; Wednesday 15:00-20:00,Chess,D
Matthew Terrell,Monday 15:00-19:00; Thursday 20:00-17:00,Reading,Lower
Carrie Williams,Thursday 15:00-18:00; Friday 19:00-23:00,Reading,A-Junior
Stephen Haney,Monday 17:00-22:00; Tuesday 16:00-22:00,Swimming,Proficiency
Jennifer Cook,Tuesday 18:00-23:00; Thursday 21:00-19:00,Chess,Pre-Junior
Mary Armstrong,Wednesday 18:00-23:00; Thursday 20:00-20:00,Swimming,Proficiency
Dr. Donna Carter,Thursday 18:00-23:00; Friday 21:00-18:00,Music,A
Jennifer Baker,Thursday 17:00-17:00; Wednesday 19:00-19:00,Reading,Pre-Junior
Sean Rodriguez,Monday 15:00-19:00; Tuesday 21:00-20:00,Dancing,D
Gina Williams,Friday 18:00-20:00; Thursday 19:00-19:00,Drawing,A-Junior
Megan Martin,Friday 21:00-22:00; Thursday 15:00-21:00,Reading,D
Morgan Peck,Thursday 15:00-23:00; Friday 19:00-18:00,Drawing,E
Ricardo Manning,Wednesday 16:00-22:00; Tuesday 20:00-17:00,Drawing,Lower
Jennifer Day,Tuesday 20:00-19:00; Monday 20:00-17:00,Music,B
Sophia Black,Wednesday 21:00-23:00; Friday 20:00-20:00,Drawing,B
Meghan Gutierrez,Tuesday 20:00-23:00; Friday 18:00-18:00,Swimming,A
Michelle Michael,Monday 19:00-17:00; Thursday 15:00-22:00,Swimming,D
Deborah Brown,Wednesday 16:00-18:00; Tuesday 20:00-19:00,Reading,E
Jennifer Murray,Thursday 18:00-18:00; Tuesday 16:00-23:00,Swimming,A
Deborah Blair,Monday 16:00-19:00; Wednesday 15:00-20:00,Chess,B
Troy Rivera,Wednesday 18:00-23:00; Monday 19:00-18:00,Drawing,Proficiency
Dean Lee,Thursday 16:00-22:00; Wednesday 16:00-19:00,Writing,Pre-Junior
Robert Shaw,Tuesday 20:00-18:00; Wednesday 15:00-19:00,Music,B
Theresa Sanchez,Friday 18:00-20:00; Monday 18:00-18:00,Reading,D
Jamie Herrera,Friday 16:00-20:00; Monday 17:00-19:00,Writing,Proficiency
James Carter,Wednesday 18:00-17:00; Friday 15:00-23:00,Writing,Lower
Daniel Ramos,Wednesday 18:00-22:00; Thursday 17:00-23:00,Writing,E
Joseph Scott,Monday 20:00-18:00; Wednesday 15:00-20:00,Dancing,D
Cynthia Simon,Thursday 21:00-18:00; Monday 18:00-21:00,Writing,D
Aaron Summers,Friday 15:00-20:00; Wednesday 15:00-19:00,Chess,D
Jonathan Romero,Friday 17:00-19:00; Thursday 20:00-19:00,Drawing,A
Mitchell Riddle,Wednesday 15:00-17:00; Thursday 21:00-19:00,Dancing,D
Hailey Wheeler,Wednesday 15:00-21:00; Monday 17:00-18:00,Swimming,A
Aaron Miller,Tuesday 18:00-21:00; Wednesday 21:00-19:00,Music,C
Richard Benson,Friday 15:00-20:00; Thursday 17:00-22:00,Swimming,B
Michael Nelson,Monday 19:00-18:00; Wednesday 18:00-22:00,Drawing,Lower
Angela Holmes,Tuesday 19:00-18:00; Friday 20:00-21:00,Drawing,A-Junior
Joshua Kidd,Wednesday 18:00-20:00; Monday 21:00-21:00,Writing,Pre-Junior
Erika Robbins,Monday 19:00-22:00; Thursday 16:00-21:00,Chess,C
William Ruiz,Friday 18:00-22:00; Thursday 19:00-19:00,Dancing,C
Patrick Moore,Thursday 16:00-22:00; Monday 19:00-21:00,Dancing,B
Elizabeth Rodriguez,Tuesday 21:00-19:00; Thursday 18:00-23:00,Drawing,Pre-Junior
Susan Cox,Friday 15:00-20:00; Tuesday 18:00-17:00,Dancing,C
Maria Robinson,Thursday 18:00-18:00; Friday 15:00-23:00,Chess,C
Andrea Rosales,Tuesday 19:00-20:00; Monday 18:00-17:00,Reading,Proficiency
Albert Ponce,Tuesday 17:00-17:00; Friday 20:00-21:00,Dancing,A
Katie Ray,Friday 17:00-18:00; Wednesday 17:00-17:00,Reading,B
James Frank,Wednesday 15:00-20:00; Tuesday 19:00-22:00,Drawing,B
Alex Rogers,Monday 21:00-23:00; Tuesday 20:00-23:00,Dancing,Lower
Brianna Wong,Monday 16:00-21:00; Wednesday 18:00-20:00,Dancing,Lower
Clayton Allen,Wednesday 19:00-23:00; Monday 20:00-22:00,Dancing,Proficiency
Nicole Bishop,Thursday 21:00-21:00; Friday 20:00-23:00,Music,A
David Collier,Wednesday 19:00-19:00; Friday 18:00-20:00,Dancing,Proficiency
Paula Rollins,Monday 19:00-19:00; Thursday 20:00-23:00,Reading,E
Matthew Thompson,Wednesday 17:00-22:00; Thursday 20:00-21:00,Swimming,C
Michele Williams,Tuesday 16:00-19:00; Monday 16:00-18:00,Swimming,C
Suzanne Stokes,Wednesday 19:00-23:00; Monday 20:00-20:00,Swimming,C
Alicia Torres,Friday 17:00-23:00; Monday 19:00-23:00,Dancing,A
Amanda Richard,Friday 18:00-22:00; Monday 20:00-22:00,Music,C
Sarah Benjamin,Tuesday 17:00-20:00; Wednesday 21:00-18:00,Writing,Pre-Junior
Matthew Black,Thursday 15:00-23:00; Tuesday 16:00-17:00,Writing,D
Samantha Chambers,Wednesday 20:00-18:00; Monday 17:00-22:00,Music,E
Jill Lester,Tuesday 21:00-23:00; Wednesday 15:00-18:00,Writing,A-Junior
Mr. George Hampton,Friday 17:00-18:00; Monday 19:00-23:00,Reading,Proficiency
Michael Cook DVM,Thursday 19:00-20:00; Friday 20:00-21:00,Writing,A-Junior
Veronica Morrison,Monday 17:00-20:00; Friday 15:00-22:00,Chess,Lower
Tammy Sutton,Friday 21:00-21:00; Monday 15:00-19:00,Dancing,E
Joseph Johnson,Monday 21:00-21:00; Tuesday 20:00-18:00,Drawing,D
David Thomas,Tuesday 15:00-19:00; Monday 17:00-19:00,Writing,Proficiency
Virginia Walker,Monday 15:00-20:00; Friday 15:00-17:00,Drawing,A-Junior
Lisa Johnson,Friday 19:00-18:00; Thursday 15:00-18:00,Music,Proficiency
Herbert Bailey,Thursday 17:00-22:00; Tuesday 19:00-20:00,Drawing,A
Kristen Patterson,Thursday 17:00-21:00; Tuesday 19:00-19:00,Music,E
Jeffrey Ramirez,Friday 19:00-23:00; Thursday 17:00-21:00,Dancing,D
Matthew Walker,Tuesday 21:00-20:00; Monday 16:00-22:00,Chess,D
Laurie Mccarthy,Thursday 18:00-23:00; Monday 15:00-20:00,Music,B
Michael Hughes,Wednesday 19:00-21:00; Thursday 19:00-17:00,Writing,A
Lisa Wilson,Wednesday 16:00-22:00; Thursday 20:00-21:00,Reading,E
Mr. Jacob Simpson,Thursday 21:00-20:00; Friday 16:00-20:00,Writing,C
Mitchell Nelson,Thursday 16:00-22:00; Monday 15:00-19:00,Chess,A-Junior
Stephanie Gonzalez,Thursday 19:00-17:00; Tuesday 21:00-17:00,Chess,Pre-Junior
Jessica Morris,Monday 19:00-18:00; Thursday 15:00-19:00,Drawing,A
Jonathan Edwards,Thursday 20:00-21:00; Friday 17:00-22:00,Drawing,Lower
Barry Maldonado,Wednesday 18:00-22:00; Friday 17:00-22:00,Swimming,A
Emily Young,Tuesday 18:00-22:00; Wednesday 19:00-21:00,Swimming,C
Tammy Miller,Wednesday 17:00-18:00; Monday 19:00-23:00,Swimming,A
Eric Payne,Thursday 21:00-17:00; Wednesday 16:00-22:00,Drawing,Lower
Stephen Stafford,Thursday 19:00-23:00; Monday 16:00-21:00,Drawing,Proficiency
Mr. Brent Campbell,Friday 21:00-19:00; Tuesday 18:00-20:00,Writing,Lower
Jay Atkinson,Tuesday 16:00-19:00; Monday 15:00-23:00,Writing,Lower
Nathan Stout,Thursday 16:00-21:00; Monday 18:00-21:00,Reading,Lower
Jessica Wilson,Monday 17:00-17:00; Friday 17:00-23:00,Reading,Pre-Junior
Kenneth Hodges,Tuesday 20:00-18:00; Friday 17:00-22:00,Music,E
Lisa Irwin,Tuesday 15:00-23:00; Monday 17:00-18:00,Swimming,E
Brian Strickland,Wednesday 18:00-22:00; Monday 18:00-20:00,Dancing,B
Christina Lewis,Tuesday 15:00-21:00; Monday 17:00-17:00,Music,A
Brian Jackson DVM,Wednesday 17:00-19:00; Thursday 15:00-18:00,Music,Proficiency
Stephen Anthony,Wednesday 21:00-19:00; Tuesday 18:00-22:00,Reading,A-Junior
Meghan Murillo,Monday 19:00-21:00; Wednesday 20:00-23:00,Chess,C
Isabella Miller,Wednesday 21:00-19:00; Thursday 18:00-23:00,Chess,D
Katherine White,Thursday 15:00-21:00; Monday 18:00-18:00,Swimming,C
Shannon Collier,Wednesday 21:00-18:00; Friday 18:00-19:00,Dancing,A-Junior
Joseph Phillips,Tuesday 21:00-18:00; Thursday 16:00-23:00,Reading,E
Emma Davis,Tuesday 21:00-19:00; Monday 20:00-19:00,Drawing,B
Sylvia Cameron,Wednesday 19:00-18:00; Thursday 21:00-21:00,Chess,E
Anna Jackson,Tuesday 16:00-22:00; Monday 19:00-19:00,Dancing,D
Sarah Chambers,Tuesday 15:00-22:00; Thursday 19:00-20:00,Chess,Proficiency
Joseph Byrd,Wednesday 16:00-19:00; Friday 15:00-22:00,Drawing,B
Luke Terry,Thursday 17:00-18:00; Monday 16:00-19:00,Drawing,A-Junior
Cheryl Williams,Tuesday 20:00-23:00; Friday 17:00-21:00,Music,E
Andrew Washington,Friday 16:00-20:00; Tuesday 20:00-22:00,Drawing,Pre-Junior
Charles Carter,Friday 15:00-17:00; Monday 20:00-22:00,Swimming,D
Robert Garcia,Thursday 19:00-20:00; Friday 15:00-18:00,Drawing,A
Stephen Esparza,Friday 17:00-23:00; Monday 15:00-22:00,Reading,D
Marisa Reid,Wednesday 21:00-18:00; Thursday 18:00-18:00,Music,D
Michael Edwards,Monday 17:00-19:00; Thursday 19:00-23:00,Swimming,C
Kristy Kelley,Monday 21:00-22:00; Wednesday 18:00-18:00,Music,A
Samuel Mccarthy,Wednesday 18:00-17:00; Tuesday 18:00-18:00,Music,A
Megan Cantu,Tuesday 21:00-21:00; Wednesday 18:00-23:00,Reading,C
Cassandra Jacobson,Friday 15:00-17:00; Tuesday 15:00-20:00,Drawing,Proficiency
Jamie Durham,Monday 16:00-19:00; Friday 17:00-23:00,Drawing,A-Junior
Leslie Trujillo,Tuesday 20:00-23:00; Thursday 21:00-20:00,Reading,C
Amy Gibson,Thursday 17:00-21:00; Wednesday 18:00-17:00,Drawing,E
Ryan Goodwin,Monday 15:00-18:00; Wednesday 21:00-18:00,Chess,B
Mr. Jared Bailey DDS,Tuesday 20:00-21:00; Friday 21:00-17:00,Swimming,C
Kristen Bruce,Tuesday 21:00-22:00; Friday 20:00-18:00,Drawing,Proficiency
Nancy Wheeler,Wednesday 19:00-20:00; Thursday 15:00-17:00,Music,Lower
John Larson,Wednesday 21:00-20:00; Thursday 16:00-22:00,Writing,C
Thomas Parsons,Friday 21:00-18:00; Tuesday 16:00-22:00,Reading,E
Julia Fisher,Thursday 15:00-20:00; Monday 17:00-21:00,Dancing,E
Elizabeth Moore,Friday 16:00-19:00; Tuesday 15:00-23:00,Drawing,Pre-Junior
Austin Coleman,Monday 18:00-17:00; Wednesday 19:00-19:00,Drawing,E
Joshua Jones,Wednesday 18:00-17:00; Monday 20:00-22:00,Reading,Lower
Christopher Nguyen,Friday 21:00-22:00; Wednesday 15:00-20:00,Swimming,C
Katie Shelton,Wednesday 15:00-19:00; Thursday 19:00-21:00,Chess,Lower
Nicole Carrillo,Thursday 15:00-23:00; Tuesday 15:00-19:00,Dancing,A-Junior
Mr. Scott Barr,Monday 17:00-23:00; Thursday 21:00-23:00,Chess,A
Teresa Miller,Friday 16:00-17:00; Monday 16:00-19:00,Dancing,C
Jason Robles,Thursday 19:00-18:00; Friday 17:00-22:00,Writing,Proficiency
Jeffrey Long,Friday 16:00-20:00; Monday 19:00-22:00,Music,Pre-Junior
Rachel Brown,Wednesday 18:00-21:00; Tuesday 20:00-21:00,Swimming,C
Latoya Anderson,Thursday 16:00-23:00; Tuesday 21:00-21:00,Chess,Proficiency
James Sims,Monday 21:00-20:00; Thursday 21:00-22:00,Swimming,Lower
Kristen Johnson,Friday 19:00-17:00; Tuesday 15:00-17:00,Drawing,Lower
Steven Nelson,Friday 17:00-23:00; Monday 18:00-23:00,Chess,E
Christopher White,Monday 17:00-22:00; Tuesday 17:00-20:00,Swimming,Proficiency
Steven Golden,Wednesday 17:00-22:00; Monday 15:00-20:00,Swimming,A-Junior
Darryl Frank,Monday 17:00-22:00; Tuesday 15:00-21:00,Swimming,D
Mary Smith,Wednesday 19:00-20:00; Thursday 17:00-19:00,Swimming,D
Jessica Garza,Monday 16:00-22:00; Tuesday 20:00-18:00,Reading,E
Brian Bolton,Friday 18:00-18:00; Tuesday 20:00-23:00,Music,Lower
Austin Manning,Monday 21:00-17:00; Thursday 15:00-17:00,Reading,Lower
Joy Patel,Monday 16:00-19:00; Wednesday 19:00-19:00,Dancing,Proficiency
Amy Armstrong,Wednesday 21:00-19:00; Friday 15:00-23:00,Drawing,Proficiency
Donald Martinez,Tuesday 15:00-23:00; Thursday 17:00-21:00,Chess,Pre-Junior
Patricia Kelly,Thursday 15:00-19:00; Tuesday 21:00-22:00,Reading,A
Allison Powers,Friday 18:00-18:00; Monday 21:00-23:00,Chess,A
Noah Martin,Tuesday 21:00-17:00; Thursday 21:00-23:00,Dancing,D
Caleb Washington,Friday 19:00-18:00; Tuesday 18:00-19:00,Dancing,B
Marie Smith,Tuesday 15:00-17:00; Monday 16:00-18:00,Drawing,Pre-Junior
Rose Jones,Tuesday 21:00-19:00; Wednesday 21:00-19:00,Drawing,B
Kimberly Snyder,Wednesday 18:00-20:00; Tuesday 16:00-18:00,Drawing,A-Junior
Lisa Ruiz,Wednesday 20:00-19:00; Friday 16:00-21:00,Drawing,C
Erica Watson,Wednesday 20:00-20:00; Monday 18:00-22:00,Reading,E
Charles Gonzalez,Friday 16:00-18:00; Monday 17:00-19:00,Music,D
Elizabeth Hernandez,Friday 19:00-19:00; Wednesday 15:00-20:00,Reading,B
George Hawkins,Wednesday 21:00-19:00; Thursday 16:00-23:00,Drawing,C
Dawn Ruiz,Monday 15:00-21:00; Friday 15:00-20:00,Dancing,E
Lindsay Mckee,Monday 18:00-19:00; Tuesday 18:00-19:00,Chess,B
James Brown,Wednesday 21:00-22:00; Friday 15:00-18:00,Music,B
Jeffrey Preston,Thursday 19:00-21:00; Wednesday 17:00-22:00,Dancing,C
Thomas Ward,Tuesday 16:00-21:00; Friday 21:00-23:00,Reading,Pre-Junior
Michaela Pace,Tuesday 18:00-21:00; Friday 20:00-21:00,Music,Lower
Jay Sanders,Wednesday 21:00-19:00; Monday 16:00-18:00,Writing,D
Kristin Martinez,Monday 15:00-18:00; Friday 21:00-20:00,Swimming,Proficiency
Jared Moreno,Thursday 18:00-23:00; Wednesday 20:00-22:00,Chess,Proficiency
Shawn Allen,Thursday 19:00-20:00; Tuesday 16:00-23:00,Chess,D
Jeffrey Richards,Tuesday 19:00-19:00; Wednesday 20:00-18:00,Drawing,B
William Perry,Monday 21:00-22:00; Tuesday 15:00-23:00,Drawing,Pre-Junior
Seth Sanchez,Wednesday 17:00-19:00; Thursday 20:00-17:00,Swimming,A-Junior
Mike Peters,Tuesday 19:00-21:00; Thursday 18:00-19:00,Chess,D
Andrea Crosby,Wednesday 19:00-22:00; Friday 20:00-17:00,Reading,A-Junior
Michael Navarro,Wednesday 21:00-17:00; Tuesday 15:00-22:00,Reading,Proficiency
Lauren King,Wednesday 16:00-23:00; Monday 20:00-19:00,Reading,E
David Wong,Tuesday 21:00-21:00; Friday 20:00-19:00,Drawing,E
Joshua Hoover,Friday 19:00-19:00; Tuesday 19:00-18:00,Dancing,Pre-Junior
Amy Franklin,Wednesday 18:00-22:00; Thursday 20:00-21:00,Swimming,Proficiency
Julie Gardner,Thursday 19:00-17:00; Wednesday 20:00-18:00,Dancing,Pre-Junior
Joseph Wallace,Thursday 19:00-17:00; Monday 19:00-18:00,Chess,A-Junior
Samuel Mccoy,Wednesday 16:00-19:00; Thursday 18:00-21:00,Writing,A
William Hood,Tuesday 19:00-23:00; Thursday 16:00-21:00,Swimming,A
Aaron King,Tuesday 18:00-17:00; Wednesday 16:00-17:00,Writing,E
Christopher Washington,Friday 19:00-19:00; Thursday 17:00-18:00,Drawing,C
Monica Mayer,Wednesday 18:00-21:00; Monday 20:00-18:00,Writing,A
Jason Smith,Wednesday 17:00-20:00; Friday 19:00-22:00,Music,A
Brandon Nicholson,Thursday 18:00-17:00; Tuesday 19:00-18:00,Drawing,D
Kelly Edwards,Thursday 19:00-23:00; Wednesday 20:00-23:00,Chess,A-Junior
Wendy Hunter,Thursday 19:00-23:00; Tuesday 16:00-23:00,Dancing,E
Nathan Garcia,Monday 21:00-17:00; Tuesday 18:00-22:00,Reading,Pre-Junior
Tammy Lee,Monday 19:00-23:00; Wednesday 21:00-22:00,Chess,A-Junior
Justin Garza,Monday 19:00-18:00; Thursday 21:00-18:00,Writing,E
Drew Ramos,Tuesday 16:00-17:00; Thursday 19:00-19:00,Drawing,A-Junior
Melissa Humphrey,Wednesday 17:00-19:00; Friday 19:00-19:00,Writing,D
Brett Roberts,Thursday 15:00-20:00; Tuesday 19:00-17:00,Music,E
Gabriela Sandoval,Friday 17:00-19:00; Tuesday 20:00-17:00,Chess,A-Junior
Kimberly Lindsey,Friday 18:00-23:00; Monday 17:00-19:00,Writing,C
Beth Frederick,Tuesday 16:00-22:00; Thursday 16:00-20:00,Music,D
Sharon Carlson,Monday 21:00-18:00; Thursday 16:00-23:00,Drawing,E
Joshua Webb,Tuesday 21:00-21:00; Monday 21:00-23:00,Chess,Lower
Eileen Carpenter,Thursday 20:00-21:00; Monday 17:00-17:00,Drawing,Proficiency
Richard Romero,Tuesday 18:00-17:00; Wednesday 15:00-22:00,Writing,C
Charles Salazar II,Thursday 18:00-21:00; Friday 21:00-17:00,Music,A
Steven Gutierrez,Thursday 20:00-19:00; Monday 15:00-22:00,Drawing,A-Junior
Christopher Clark,Monday 19:00-22:00; Tuesday 19:00-17:00,Swimming,D
Gregory Roberts,Wednesday 21:00-17:00; Thursday 20:00-23:00,Music,Proficiency
Vincent Williams,Monday 17:00-23:00; Thursday 20:00-17:00,Chess,Lower
Michael Pugh DDS,Tuesday 20:00-23:00; Wednesday 15:00-18:00,Drawing,C
Judith Conrad,Monday 17:00-17:00; Friday 18:00-17:00,Music,D
Sabrina Romero,Monday 18:00-22:00; Tuesday 21:00-21:00,Writing,C
Claudia Hunt,Friday 21:00-20:00; Thursday 15:00-17:00,Music,Pre-Junior
Sherri Stout,Friday 18:00-21:00; Thursday 18:00-21:00,Chess,Lower
James Johnson,Monday 21:00-20:00; Wednesday 17:00-18:00,Swimming,Pre-Junior
Kimberly Baker,Monday 16:00-21:00; Tuesday 19:00-21:00,Dancing,Lower
Douglas Perez,Thursday 15:00-17:00; Monday 18:00-21:00,Music,A
Diane Robles,Thursday 16:00-18:00; Wednesday 15:00-17:00,Chess,Lower
Elaine Richards,Monday 19:00-18:00; Tuesday 15:00-23:00,Music,Pre-Junior
Laura Lopez,Wednesday 17:00-19:00; Monday 16:00-21:00,Music,E
Adam Rush,Tuesday 19:00-20:00; Thursday 19:00-23:00,Swimming,B
Michelle White,Thursday 21:00-17:00; Tuesday 18:00-23:00,Writing,C
Barbara Gardner,Friday 18:00-22:00; Wednesday 18:00-23:00,Chess,A
Matthew Smith,Monday 20:00-21:00; Wednesday 17:00-23:00,Music,C
Chad Nunez,Friday 16:00-21:00; Monday 18:00-21:00,Chess,A
Shannon Williams,Wednesday 17:00-21:00; Tuesday 20:00-19:00,Writing,Proficiency
James Wright,Friday 18:00-19:00; Tuesday 17:00-19:00,Drawing,C
Charles Franklin,Monday 20:00-23:00; Wednesday 18:00-19:00,Swimming,B
Katherine Browning,Thursday 17:00-20:00; Wednesday 18:00-22:00,Chess,A
Cynthia George,Friday 20:00-19:00; Monday 20:00-21:00,Dancing,C
Edward Brown,Friday 19:00-18:00; Thursday 19:00-18:00,Reading,C
Ellen Miller,Monday 21:00-18:00; Wednesday 15:00-18:00,Drawing,Pre-Junior
Thomas White,Thursday 21:00-17:00; Wednesday 16:00-22:00,Chess,B
John Gibbs,Wednesday 15:00-19:00; Thursday 18:00-20:00,Drawing,B
Pam Campbell,Monday 16:00-21:00; Thursday 20:00-19:00,Dancing,D
John Lee,Thursday 17:00-21:00; Tuesday 18:00-23:00,Reading,Proficiency
Shaun Reyes,Friday 21:00-22:00; Wednesday 20:00-18:00,Swimming,C
Elizabeth Woodard,Monday 21:00-22:00; Thursday 17:00-18:00,Writing,Lower
Frank Collins,Thursday 15:00-21:00; Friday 17:00-23:00,Music,A
Kristi Edwards,Wednesday 15:00-23:00; Thursday 18:00-17:00,Drawing,Pre-Junior
Kathy Ford,Thursday 19:00-22:00; Wednesday 15:00-19:00,Drawing,Proficiency
Laura Johnson,Friday 20:00-22:00; Monday 18:00-19:00,Drawing,B
Scott Schmidt,Friday 17:00-18:00; Tuesday 18:00-19:00,Swimming,C
Austin Payne,Friday 21:00-19:00; Monday 15:00-21:00,Dancing,C
Tiffany Webster,Tuesday 15:00-17:00; Friday 17:00-21:00,Writing,A-Junior
Allison Stevenson,Wednesday 15:00-17:00; Friday 21:00-17:00,Chess,C
Vanessa Robinson,Monday 18:00-20:00; Thursday 18:00-23:00,Drawing,Proficiency
Jose Wilson,Thursday 17:00-18:00; Tuesday 15:00-21:00,Drawing,Pre-Junior
Lonnie Anderson,Friday 16:00-20:00; Thursday 20:00-21:00,Reading,Proficiency
